phase,episode_index,seed,frame_index,time_s,x_m,y_m,z_m,quat_w,quat_x,quat_y,quat_z
validation-source,0,2005200,32,3.199999999999869,0.20052128132664745,-0.6773085189991711,1.199165717411695,0.9999598731799936,0.004911187111237296,-0.00749143316302141,-0.00010344165175880437
validation-source,0,2005200,33,3.299999999999858,0.27115074872022626,-0.6710398801262453,1.19899903015081,0.9999262513621008,0.00133603005837776,-0.01207085165161047,-3.743025830460422e-05
validation-source,0,2005200,34,3.399999999999847,0.33947093108918464,-0.6649998331289286,1.1989222717736026,0.9998987547374576,-0.004467039401689345,-0.013510121484415716,4.950698550325292e-05
validation-source,0,2005200,35,3.499999999999836,0.405198303067431,-0.6580416858732522,1.1989179378526407,0.9998623439271306,-0.012081781191955526,-0.011371684567501402,9.24655173598728e-05
validation-source,0,2005200,36,3.599999999999825,0.4687328698094605,-0.6486951718559517,1.199009057274646,0.9997678322525353,-0.020425440109919098,-0.00686149779261603,5.326749015419306e-05
validation-source,0,2005200,37,3.699999999999814,0.530913775257275,-0.6353514640801994,1.1992216414657775,0.9996174556691805,-0.027553853002404306,-0.0023930677061821453,-2.7076717514965746e-05
validation-source,0,2005200,38,3.799999999999803,0.5925930159892412,-0.6166413535488652,1.199514345380694,0.9994962293263888,-0.031735801775783494,0.00034689164605507976,-7.819312378130899e-05
validation-source,0,2005200,39,3.899999999999792,0.6543287694574896,-0.5917763853070727,1.1997601296715978,0.9995016326468947,-0.03149268428092519,0.002164750647855524,-0.00010501241423235849
validation-source,0,2005200,40,3.999999999999781,0.7164797475277364,-0.5607874724172738,1.1998639812893532,0.9996066231952259,-0.02783987434615774,0.0033952964278291934,-0.0001105567520311009
validation-source,0,2005200,41,4.0999999999997705,0.7792804153569947,-0.5243798266375691,1.1998100222860506,0.9997544592551842,-0.02184955795210452,0.0036891468517206384,-9.062106733474391e-05
