phase,episode_index,seed,success,collision,steps,seconds,failure_reason,final_distance_m,min_sampled_clearance_m,min_polyline_clearance_m,path_length_m,reward,goal_x_m,goal_y_m
stale-vision,5,2006213,false,false,120,12.000000000000677,timeout,0.7571248071766487,0.5794220963631863,0.5792105211878439,6.776613549429861,6.791131859031209,1.6,-0.00790331718649881
stale-vision,6,2006214,false,false,120,12.000000000000677,timeout,0.9860600798253949,0.746020011482288,0.7457688415005469,7.281618182192577,5.852525357723338,1.6,-0.133970322190531
stale-vision,7,2006215,false,false,120,12.000000000000677,timeout,0.8633596438135445,0.5784037184859451,0.5781655516586449,6.9683695659021545,6.352517040572711,1.6,0.006089578119159722
stale-vision,8,2006216,false,false,120,12.000000000000677,timeout,0.7744499763354893,0.6016016990006848,0.601011427407803,6.797031799602316,6.745788160487573,1.6,-0.11001848972351401
stale-vision,9,2006217,false,false,120,12.000000000000677,timeout,0.8453510376396243,0.6042993219813771,0.6038203207404028,6.9204482674969645,6.4540397579773225,1.6,-0.12107248551254883
stale-vision,10,2006218,false,false,120,12.000000000000677,timeout,1.0196387735728503,0.6735608539174033,0.6729057035209512,7.2611588121828445,5.742938992242966,1.6,-0.20904828293115868
stale-vision,11,2006219,false,false,120,12.000000000000677,timeout,0.7130051357694576,0.600348066644644,0.5996670574759456,6.710125565946595,6.999849939051042,1.6,-0.10183053109509714
stale-vision,12,2006220,false,false,120,12.000000000000677,timeout,0.9433793076971642,0.7564552360238305,0.7562691814847823,7.300016124132438,6.067054883794361,1.6,0.06617444206661091
stale-vision,13,2006221,false,false,120,12.000000000000677,timeout,0.7638234881002218,0.5955249407201283,0.5949042995096269,6.781204118144313,6.781486011311415,1.6,-0.0808579993053852
stale-vision,14,2006222,false,false,120,12.000000000000677,timeout,0.8974007205636193,0.6259390220281135,0.6258685990023126,7.0473321799146795,6.243449856387163,1.6,-0.16051019044706993
stale-vision,15,2006223,false,false,120,12.000000000000677,timeout,0.9707059185701225,0.7591104541142079,0.7586793527101375,7.272142517984495,5.916819171468867,1.6,-0.09799165123352102
stale-vision,16,2006224,false,false,120,12.000000000000677,timeout,0.9827333397961189,0.6159691196527094,0.6156886528153406,7.2277655554236535,5.869173077086935,1.6,-0.03270223830222921
stale-vision,17,2006225,false,false,120,12.000000000000677,timeout,0.8570512198431812,0.5752488382711572,0.5750682820289915,6.95736968125963,6.376602594785507,1.6,0.01842228369840157
stale-vision,18,2006226,false,false,120,12.000000000000677,timeout,0.9333278219304029,0.7786322673119789,0.7781606736923833,7.260847575461138,6.075660516819315,1.6,-0.05879197615970522
stale-vision,19,2006227,false,false,120,12.000000000000677,timeout,0.7639973784636767,0.5889377515303752,0.5885082457851419,6.783704764135021,6.7728398989449525,1.6,-0.051253427780264676
